GBPL,YEARFIRST,YEARLAST,X,Y,PL,GB,SA,TYPE,Y_deg,X_deg
B1,1979,,158232,217899,1,B,PB,,51.27091219,4.48671266
B10,1979,,158321,217836,10,B,PB,,51.27034465,4.487986449
B100,1979,,158307,218074,100,B,PB,,51.27248404,4.487791346
B101,1979,,158272,218074,101,B,PB,,51.27248455,4.487289828
B102,1979,,158234,218078,102,B,PB,,51.27252105,4.486745414
B103,1979,,158233,218031,103,B,PB,,51.27209862,4.48673001
B104,1979,,158280,218030,104,B,PB,,51.27208895,4.487403448
B105,1979,,158307,218026,105,B,PB,,51.27205261,4.487790238
B106,1979,,158332,218020,106,B,PB,,51.27199832,4.488148323
B107,1979,,158328,217991,107,B,PB,,51.27173772,4.488090336
B108,1979,,158305,217988,108,B,PB,,51.27171109,4.487760703
B109,1979,,158275,217986,109,B,PB,,51.27169355,4.487330791
B11,1979,,158328,217869,11,B,PB,,51.27064116,4.488087512
B110,1979,,158234,217982,110,B,PB,,51.27165818,4.486743217
B111,1979,,158235,217957,111,B,PB,,51.27143346,4.486756974
B112,1979,,158278,217954,112,B,PB,,51.27140588,4.487373042
B113,1979,,158307,217956,113,B,PB,,51.27142344,4.487788622
B114,1979,,158329,217958,114,B,PB,,51.27144109,4.488103901
B115,1979,,158330,217926,115,B,PB,,51.27115346,4.488117489
B116,1979,,158298,217924,116,B,PB,,51.27113595,4.487658925
B117,1979,,158273,217928,117,B,PB,,51.27117226,4.4873008
B118,1979,,158235,217932,118,B,PB,,51.27120876,4.486756401
B12,1979,,158330,217903,12,B,PB,,51.27094673,4.488116956
B13,1979,,158346,217907,13,B,PB,,51.27098245,4.488346307
B14,1979,,158350,217881,14,B,PB,,51.2707487,4.488403018
B15,1979,,158348,217856,15,B,PB,,51.27052402,4.488373781
B16,1979,,158348,217825,16,B,PB,,51.27024539,4.488373062
B17,1979,,158370,217817,17,B,PB,,51.27017316,4.4886881
B18,1979,,158373,217848,18,B,PB,,51.27045175,4.488731807
B19,1979,,158389,217875,19,B,PB,,51.2706942,4.488961692
B2,1979,,158237,217881,2,B,PB,,51.27075033,4.486783891
