NN,SOORT,GB,PL,LD,JAE,AE,AEN,NP,PD,PU,LO,TY,RM,RW,AW,WD,WU,ME,GN,GT,GG,CON,SA,NNN1,NNN2,NNN3,NNBI,NNTRI,VERL,exp,coorx,coory,comm,year,gbpl
1950301,pm,TF,VS113C,26/03/1997,N,10,0,10,0,10,,1,,,,28/04/1997,,TC,,,,,TF,,,,,,,,,,,1997,TFVS113C
1950302,pm,TF,LS207E,7/04/1997,N,7,0,7,0,7,,1,,,,7/05/1997,,TC,,,,,TF,,,,,,,,159730,201780,,1997,TFLS207E
1950303,pm,TF,TL17,19/04/1997,N,9,0,9,0,9,,1,,,,21/05/1997,,FA,,,,,TF,,,,,,,,159979.6058,201430.8404,,1997,TFTL17
1950304,pm,TF,GV51A,21/04/1997,N,5,0,5,0,5,,1,37V73889,39V33441,1,19/05/1997,,FA,,,,,TF,,,,,,,,,,,1997,TFGV51A
1950305,pm,KB,KB97B,16/04/1997,N,8,0,8,0,8,,1,,,,17/05/1997,11,MW,8,,,,FR,,,,,,,,,,,1997,KBKB97B
1950306,pm,KB,KB97A,20/04/1997,N,4,0,4,0,4,,1,,,,17/05/1997,11,MW,4,,,,FR,,,,,,,,,,,1997,KBKB97A
1950307,pm,LO,LO94F,20/04/1994,N,10,0,10,0,10,,1,,,,23/05/1994,11,MW,10,,,,FR,,,,,,,,,,,1994,LOLO94F
1950308,pm,LO,LO94E,21/04/1994,N,9,0,9,0,9,,1,,,,23/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,LOLO94E
1950309,pm,LO,LO94D,22/04/1994,N,8,0,8,0,8,,1,,,,23/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,LOLO94D
1950310,pm,LO,LO94B,9/05/1994,N,5,0,5,0,5,,5,,,,6/06/1994,11,MW,4,,,,FR,,,,,,,,,,,1994,LOLO94B
1950311,pm,LO,LO94C,17/05/1994,N,7,0,7,0,7,,5,,,,16/06/1994,11,MW,5,,,,FR,,,,,,,,,,,1994,LOLO94C
1950312,pm,LO,LO95A,20/04/1995,N,6,0,6,0,6,,1,,,,19/05/1995,11,MW,6,,,,FR,,,,,,,,,,,1995,LOLO95A
1950313,pm,LO,EK3,21/04/1996,N,10,0,10,0,10,,1,,,,24/05/1996,,MW,,,,,FR,,,,,,,,,,,1996,LOEK3
1950314,pm,LO,EK2,27/04/1996,N,4,0,4,0,4,,1,,,,24/05/1996,,MW,,,,,FR,,,,,,,,,,,1996,LOEK2
1950315,pm,RO,HA94A,7/04/1994,N,10,0,10,0,10,,1,,,,10/05/1994,11,MW,9,,,,FR,,,,,,,,,,,1994,ROHA94A
1950316,pm,RO,HA94B,13/04/1994,N,4,0,4,0,4,,1,,,,10/05/1994,11,MW,4,,,,FR,,,,,,,,,,,1994,ROHA94B
1950317,pm,RO,HA94L,17/04/1994,N,10,0,10,0,10,,1,,,,20/05/1994,11,MW,10,,,,FR,,,,,,,,,,,1994,ROHA94L
1950318,pm,RO,HA94N,18/04/1994,N,9,0,9,0,9,,1,,,,20/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,ROHA94N
1950319,pm,RO,HA94M,19/04/1994,N,8,0,8,0,8,,1,,,,20/05/1994,11,MW,8,,,,FR,,,,,,,,,,,1994,ROHA94M
1950320,pm,RO,HA94O,21/04/1994,N,6,0,6,0,6,,1,,,,20/05/1994,11,MW,5,,,,FR,,,,,,,,,,,1994,ROHA94O
1950321,pm,RO,HA94K,21/04/1994,N,6,0,6,0,6,,1,,,,20/05/1994,11,MW,6,,,,FR,,,,,,,,,,,1994,ROHA94K
1950322,pm,RO,HA95B,9/04/1995,N,9,0,9,0,9,,1,,,,11/05/1995,11,MW,8,,,,FR,,,,,,,,,,,1995,ROHA95B
1950323,pm,RO,HA95A,9/04/1995,N,9,0,9,0,9,,1,,,,11/05/1995,11,MW,8,,,,FR,,,,,,,,,,,1995,ROHA95A
1950324,pm,RO,HA95C,12/04/1995,N,6,0,6,0,6,,1,,37V6519,1+,11/05/1995,11,MW,6,,,,FR,,,,,,,,,,,1995,ROHA95C
1950325,pm,RO,HA95N,18/04/1995,N,11,0,11,0,11,,1,,,,22/05/1995,11,MW,11,,,,FR,,,,,,,,,,,1995,ROHA95N
1950326,pm,RO,HA95Q,20/04/1995,N,9,0,9,0,9,,1,,,,22/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,ROHA95Q
1950327,pm,RO,HA95M,20/04/1995,N,9,0,9,0,9,,1,,,,22/05/1995,11,MW,9,,,,FR,,,,,,,,,,,1995,ROHA95M
1950328,pm,RO,HA95P,21/04/1995,N,8,0,8,0,8,,1,,37V6854,1+,22/05/1995,11,MW,7,,,,FR,,,,,,,,,,,1995,ROHA95P
1950329,pm,RO,HA95L,21/04/1995,N,8,0,8,0,8,,1,,,,22/05/1995,11,MW,8,,,,FR,,,,,,,,,,,1995,ROHA95L
1950330,pm,RO,HA95O,26/04/1995,N,3,0,3,0,3,,1,,37V6850,1+,22/05/1995,11,MW,3,,,,FR,,,,,,,,,,,1995,ROHA95O
1950331,pm,RO,HA96D,15/04/1996,N,12,0,12,0,12,,1,,,,20/05/1996,11,MW,11,,,,FR,,,,,,,,,,,1996,ROHA96D
1950332,pm,RO,HA96F,18/04/1996,N,9,0,9,0,9,,1,,,,20/05/1996,11,MW,9,,,,FR,,,,,,,,,,,1996,ROHA96F
1950333,pm,RO,HA96C,18/04/1996,N,9,0,9,0,9,,1,,,,20/05/1996,11,MW,9,,,,FR,,,,,,,,,,,1996,ROHA96C
1950334,pm,RO,HA96A,18/04/1996,N,9,0,9,0,9,,1,,,,20/05/1996,11,MW,9,,,,FR,,,,,,,,,,,1996,ROHA96A
1950335,pm,RO,HA96E,19/04/1996,N,8,0,8,0,8,,1,,,,20/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96E
1950336,pm,RO,HA96B,20/04/1996,N,7,0,7,0,7,,1,,,,20/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96B
1950337,pm,RO,HA96I,20/04/1996,N,7,0,7,0,7,,1,,,,20/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96I
1950338,pm,RO,HA96H,21/04/1996,N,6,0,6,0,6,,1,,,,20/05/1996,11,MW,6,,,,FR,,,,,,,,,,,1996,ROHA96H
1950339,pm,RO,HA96G,22/04/1996,N,5,0,5,0,5,,1,,,,20/05/1996,11,MW,5,,,,FR,,,,,,,,,,,1996,ROHA96G
1950340,pm,RO,HA96R,24/04/1996,N,11,0,11,0,11,,1,,,,28/05/1996,11,MW,11,,,,FR,,,,,,,,,,,1996,ROHA96R
1950341,pm,RO,HA96P,24/04/1996,N,11,0,11,0,11,,1,,,,28/05/1996,11,MW,11,,,,FR,,,,,,,,,,,1996,ROHA96P
1950342,pm,RO,HA96S,28/04/1996,N,7,0,7,0,7,,1,,,,28/05/1996,11,MW,7,,,,FR,,,,,,,,,,,1996,ROHA96S
1950343,pm,RO,HA96Q,29/04/1996,N,6,0,6,0,6,,1,,,,28/05/1996,11,MW,6,,,,FR,,,,,,,,,,,1996,ROHA96Q
1950344,pm,RO,HA97M,11/04/1997,N,9,0,9,0,9,,1,,,,13/05/1997,11,MW,9,,,,FR,,,,,,,,,,,1997,ROHA97M
