"BroodYear","Species","PopID","BroodID","NestboxName","FemaleID","MaleID","ClutchType","LayingDate","ClutchSize","HatchDate","NumberHatched","FledgeDate","NumberFledged"
1997,"GT","FR",1950301,"VS113C","","","First",1997-03-26,10,NA,10,NA,10
1997,"GT","FR",1950302,"LS207E","","","First",1997-04-07,7,NA,7,NA,7
1997,"GT","FR",1950303,"TL17","","","First",1997-04-19,9,NA,9,NA,9
1997,"GT","FR",1950304,"GV51A","39V33441","37V73889","First",1997-04-21,5,NA,5,NA,5
1997,"GT","FR",1950305,"KB97B","","","First",1997-04-16,8,NA,8,NA,8
1997,"GT","FR",1950306,"KB97A","","","First",1997-04-20,4,NA,4,NA,4
1994,"GT","FR",1950307,"LO94F","","","First",1994-04-20,10,NA,10,NA,10
1994,"GT","FR",1950308,"LO94E","","","First",1994-04-21,9,NA,9,NA,9
1994,"GT","FR",1950309,"LO94D","","","First",1994-04-22,8,NA,8,NA,8
1994,"GT","FR",1950310,"LO94B","","","Second/replacement",1994-05-09,5,NA,5,NA,5
1994,"GT","FR",1950311,"LO94C","","","Second/replacement",1994-05-17,7,NA,7,NA,7
1995,"GT","FR",1950312,"LO95A","","","First",1995-04-20,6,NA,6,NA,6
1996,"GT","FR",1950313,"EK3","","","First",1996-04-21,10,NA,10,NA,10
1996,"GT","FR",1950314,"EK2","","","First",1996-04-27,4,NA,4,NA,4
1994,"GT","FR",1950315,"HA94A","","","First",1994-04-07,10,NA,10,NA,10
1994,"GT","FR",1950316,"HA94B","","","First",1994-04-13,4,NA,4,NA,4
1994,"GT","FR",1950317,"HA94L","","","First",1994-04-17,10,NA,10,NA,10
1994,"GT","FR",1950318,"HA94N","","","First",1994-04-18,9,NA,9,NA,9
1994,"GT","FR",1950319,"HA94M","","","First",1994-04-19,8,NA,8,NA,8
1994,"GT","FR",1950320,"HA94O","","","First",1994-04-21,6,NA,6,NA,6
1994,"GT","FR",1950321,"HA94K","","","First",1994-04-21,6,NA,6,NA,6
1995,"GT","FR",1950322,"HA95B","","","First",1995-04-09,9,NA,9,NA,9
1995,"GT","FR",1950323,"HA95A","","","First",1995-04-09,9,NA,9,NA,9
1995,"GT","FR",1950324,"HA95C","37V6519","","First",1995-04-12,6,NA,6,NA,6
1995,"GT","FR",1950325,"HA95N","","","First",1995-04-18,11,NA,11,NA,11
1995,"GT","FR",1950326,"HA95Q","","","First",1995-04-20,9,NA,9,NA,9
1995,"GT","FR",1950327,"HA95M","","","First",1995-04-20,9,NA,9,NA,9
1995,"GT","FR",1950328,"HA95P","37V6854","","First",1995-04-21,8,NA,8,NA,8
1995,"GT","FR",1950329,"HA95L","","","First",1995-04-21,8,NA,8,NA,8
1995,"GT","FR",1950330,"HA95O","37V6850","","First",1995-04-26,3,NA,3,NA,3
1996,"GT","FR",1950331,"HA96D","","","First",1996-04-15,12,NA,12,NA,12
1996,"GT","FR",1950332,"HA96F","","","First",1996-04-18,9,NA,9,NA,9
1996,"GT","FR",1950333,"HA96C","","","First",1996-04-18,9,NA,9,NA,9
1996,"GT","FR",1950334,"HA96A","","","First",1996-04-18,9,NA,9,NA,9
1996,"GT","FR",1950335,"HA96E","","","First",1996-04-19,8,NA,8,NA,8
1996,"GT","FR",1950336,"HA96B","","","First",1996-04-20,7,NA,7,NA,7
1996,"GT","FR",1950337,"HA96I","","","First",1996-04-20,7,NA,7,NA,7
1996,"GT","FR",1950338,"HA96H","","","First",1996-04-21,6,NA,6,NA,6
1996,"GT","FR",1950339,"HA96G","","","First",1996-04-22,5,NA,5,NA,5
1996,"GT","FR",1950340,"HA96R","","","First",1996-04-24,11,NA,11,NA,11
1996,"GT","FR",1950341,"HA96P","","","First",1996-04-24,11,NA,11,NA,11
1996,"GT","FR",1950342,"HA96S","","","First",1996-04-28,7,NA,7,NA,7
1996,"GT","FR",1950343,"HA96Q","","","First",1996-04-29,6,NA,6,NA,6
1997,"GT","FR",1950344,"HA97M","","","First",1997-04-11,9,NA,9,NA,9
1997,"GT","FR",1950345,"HA97K","","","First",1997-04-11,9,NA,9,NA,9
1997,"GT","FR",1950346,"HA97J","","","First",1997-04-11,9,NA,9,NA,9
1997,"GT","FR",1950347,"HA97N","","","First",1997-04-12,8,NA,8,NA,8
1997,"GT","FR",1950348,"HA97I","","","First",1997-04-12,8,NA,8,NA,8
1997,"GT","FR",1950349,"HA97O","","","First",1997-04-13,7,NA,7,NA,7
1997,"GT","FR",1950350,"HA97L","","","First",1997-04-14,6,NA,6,NA,6
1997,"GT","FR",1950351,"HA97Q","","","First",1997-04-23,6,NA,6,NA,6
1997,"GT","FR",1950352,"HA97P","","","First",1997-04-23,6,NA,6,NA,6
1994,"GT","FR",1950354,"ZN94B","","","First",1994-04-18,8,NA,8,NA,8
1994,"GT","FR",1950355,"ZN94C","","","First",1994-04-20,6,NA,6,NA,6
1994,"GT","FR",1950356,"ZN94F","","","First",1994-05-01,8,NA,8,NA,8
1995,"GT","FR",1950357,"TF30","","","First",1995-04-13,9,NA,9,NA,9
1995,"GT","FR",1950358,"TF32","","","First",1995-04-17,5,NA,5,NA,5
1996,"GT","FR",1950359,"ZB67PO","","36V82683","First",1996-04-14,6,NA,6,NA,6
1996,"GT","FR",1950360,"LWSSC1","","37V72519","First",1996-04-16,8,NA,8,NA,8
1996,"GT","FR",1950361,"LH48A","","","First",1996-04-17,8,NA,8,NA,8
1996,"GT","FR",1950362,"BH305A","","","First",1996-04-19,9,NA,9,NA,9
1996,"GT","FR",1950363,"BH332","","","First",1996-04-19,9,NA,9,NA,9
1996,"GT","FR",1950364,"BH234A","36V56498","","First",1996-04-22,7,NA,7,NA,7
1996,"GT","FR",1950365,"TF25","36V81435","36V57108","First",1996-04-25,7,NA,7,NA,7
1996,"GT","FR",1950366,"LWSSC2","","4488526","First",1996-04-26,8,NA,8,NA,8
1996,"GT","FR",1950367,"LH148C","","","First",1996-05-04,5,NA,5,NA,5
1996,"GT","FR",1950368,"TF31","34V72762","","Second/replacement",1996-05-23,5,NA,5,NA,0
1997,"GT","FR",1950369,"LS217D","","","First",1997-03-28,7,NA,7,NA,7
