SA,PERI,AREA,FIRSTY,LASTY,COORX,COORY,LAT,LONG,NAAM,DEELGEM,gb
PB,1493.303,11.949,1979,,158355,218063,51°16.3430690,4°29.3087325,Boswachter,Schoten,B
FR,682.946,2.204,1996,1997,160418,204138,51°08.8312447,4°31.0582620,Boshoek noord,Boechout,BN
FR,,,2014,,158648,201877,51°07.623,4°29.547,Park Lint,Lint,BOSHBP
FR,1079.549,2.988,1997,1998,159855,203561,51°08.5206533,4°30.5745812,Boshoek west,Hove,BW
PB,2347.382,30.955,1979,2009,157306,215327,51°14.8684217,4°28.4035255,Calixbergen,Schoten,C
FR,942.654,0.247,1993,,159581,203477,51°08.4756276,4°30.3395349,Dreef notaris,Hove,DN
FR,943.859,4.27,2000,,159806,200602,51°06.9248561,4°30.5277670,Electrabel,Lier,EB
FR,356.07,0.786,1993,,159863,202671,51°08.0406522,4°30.5799864,Luitersheide midden,Lint,HM
FR,773.983,2.832,1993,,159752,202881,51°08.1540223,4°30.4851763,Luitersheide noord,Hove,HN
PB,,,1980,,157946,218140,51°16.3849433,4°28.9571993,Kontrole,Schoten,K
FR,1924.842,10.083,1987,,160540,202557,51°07.9784509,4°31.1601103,Kapellekensbos,Lint,KB
FR,562.208,1.566,1990,,161105,201656,51°07.4918874,4°31.6427598,Klein Lachenen,Lier,KL
PB,1527.004,7.508,1980,1989,157190,217797,51°16.2005654,4°28.3068109,List,Schoten,L
FR,,,2000,2005,,,,,Lachenen canadas,Lier,LC
FR,,,2000,2005,,,,,Luitersheide,Lint,LH
FR,1344.088,6.181,1987,,160795,201547,51°07.4334547,4°31.3768859,Lachenen oost,Lier,LO
FR,274.412,0.489,1993,2005,161403,204615,51°09.0873786,4°31.9037403,Lierse steenweg,Lier,LS
FR,512.012,1.021,1993,,160320,201368,51°07.3374383,4°30.9694996,Lachenen west,Lier,LW
PB,,,1980,1989,,,,,Melkerij,Brasschaat,ME
FR,,,1992,1992,,,,,Moretus bos,Boechout,MOB
FR,,,1992,1992,,,,,Moretus kasteel,Boechout,MOK
FR,,,1992,1992,,,,,Moretus lintakker,Boechout,MOL
FR,,,1992,1992,,,,,Moretus noord,Boechout,MON
FR,,,1989,1992,158850,204231,51°08.8829731,4°29.7139297,Moretus west,Boechout,MOW
FR,,,1992,1992,,,,,Moretus zuid,Boechout,MOZ
PB,,,2000,,,,,,Melkerij parking,Brasschaat,MP
FR,1615.15,4.839,1990,,159392,202493,51°07.9451251,4°30.1759685,Rodenburg,Hove,RO
PB,1546.642,12.741,1979,2004,157399,218156,51°16.3940112,4°28.4869316,Tennis,Brasschaat,T
,,,1982,1989,,,,,,,TB
FR,,,1989,,,,,,Tussen fragmenten,Lint,TF
PB,,,2000,2004,,,,,Tuinen Schoten,Schoten,TS
FR,1881.346,11.915,1987,,160596,203269,51°08.3623837,4°31.2093614,Turk,Boechout,TU
FR,574.416,1.285,1990,,161281,202931,51°08.1793142,4°31.7959777,Vinkenstraat,Lier,VS
PB,,,2011,,157946,218140,51°16.3849433,4°28.9571993,Kontrole-WM,Schoten,WM
FR,500.334,1.531,1988,,161604,203822,51°08.6594609,4°32.0745777,Zevenbergen noord,Lier,ZN
,,,1991,1992,,,,,,,ZR
FR,325.709,0.412,1993,,161421,203939,51°08.7227802,4°31.9178972,Zevenbergen west,Lier,ZW
FR,1422.012,11.131,1988,,161486,203478,51°08.4740779,4°31.9727519,Zevenbergen zuid,Lier,ZZ
