Brood,Capture,Individual,Location
BroodID,CaptureID,IndvID,LocationID
PopID,IndvID,Species,NestboxID
BreedingSeason,Species,PopID,LocationType
Species,Sex_observed,BroodIDLaid,PopID
Plot,BreedingSeason,BroodIDFledged,Latitude
LocationID,CaptureDate,RingSeason,Longitude
FemaleID,CaptureTime,RingAge,StartSeason
MaleID,ObserverID,Sex_calculated,EndSeason
ClutchType_observed,LocationID,Sex_genetic,HabitatType
ClutchType_calculated,CaptureAlive,,
LayDate_observed,ReleaseAlive,,
LayDate_min,CapturePopID,,
LayDate_max,CapturePlot,,
ClutchSize_observed,ReleasePopID,,
ClutchSize_min,ReleasePlot,,
ClutchSize_max,Mass,,
HatchDate_observed,Tarsus,,
HatchDate_min,OriginalTarsusMethod,,
HatchDate_max,WingLength,,
BroodSize_observed,Age_observed,,
BroodSize_min,Age_calculated,,
BroodSize_max,ChickAge,,
FledgeDate_observed,ExperimentID,,
FledgeDate_min,,,
FledgeDate_max,,,
NumberFledged_observed,,,
NumberFledged_min,,,
NumberFledged_max,,,
AvgEggMass,,,
NumberEggs,,,
AvgChickMass,,,
NumberChicksMass,,,
AvgTarsus,,,
NumberChicksTarsus,,,
OriginalTarsusMethod,,,
ExperimentID,,,
