habitatID,habitatLevel,habitatType,habitatDetails
B,1,Coastal habitats,"Coastal habitats are those above spring high tide limit (or above mean water level in non-tidal waters) occupying coastal features and characterised by their proximity to the sea, including coastal dunes and wooded coastal dunes, beaches and cliffs. Includes free-draining supralittoral habitats adjacent to marine habitats which are normally only affected by spray or splash, strandlines characterised by terrestrial invertebrates and moist and wet coastal dune slacks and dune-slack pools. Excludes supralittoral rock pools and habitats adjacent to the sea which are not characterised by salt spray, wave or sea-ice erosion."
B1,2,Coastal dunes and sandy shores,"Sand-covered shorelines of the oceans, their connected seas and associated coastal lagoons, fashioned by the action of wind or waves. They include gently sloping beaches and beach-ridges, formed by sands brought by waves, longshore drift and storm waves, as well as dunes, formed by aeolian deposits, though sometimes re-fashioned by waves."
B1.1,3,Sand beach driftlines,"The lowest level of the supralittoral, just above the normal tide limit, where drift material accumulates and the sand may be rich in nitrogenous organic matter. Vegetation, if present at all, is very open and composed of annuals, e.g. [Atriplex] spp., [Cakile] spp., [Salsola kali], [Polygonum] spp."
B1.11,4,Boreo-Arctic sand beach annual communities,"Annual communities of sand beaches of the low Arctic and high Arctic oceanic zones of the Palaearctic Atlantic, Pacific and Arctic oceans, with [Cakile edentula ssp. islandica] ([Cakile arctica]), [Atriplex lapponica]."
B1.12,4,Middle European sand beach annual communities,"Annual halo-nitrophilous communities of the sand beaches of the temperate North Atlantic, the North Sea, the English Channel, the Irish Sea and the Baltic, with [Suaeda maritima], [Bassia hirsuta], [Cakile maritima], [Salsola kali], [Beta maritima], [Atriplex] spp., [Glaucium flavum], [Polygonum] spp., [Mertensia maritima]."
B1.121,5,Baltic sand beach annual communities,"Annual driftline communities of central and southern Baltic sand beaches, with [Cakile maritima ssp. baltica], [Atriplex littoralis], [Atriplex calotheca], [Atriplex hastata], [Salsola kali], [Polygonum aviculare], [Polygonum oxyspermum], [Senecio vulgaris], [Matricaria perforata], [Matricaria maritima]."
B1.13,4,Tethyan sand beach driftline communities,"Annual communities of sand beaches of the Mediterranean, Black Sea and Mediterraneo-Atlantic coasts. [Zosterion marinae] and [Cymodoceion nodosae] communities with e.g. [Caulerpa prolifera], [Zostera noltii], [Cymodocea nodosa]."
B1.131,5,Western Tethyan sand beach annual communities,"Annual communities of sand beaches of the Mediterranean and the subtropical Atlantic, between Portugal and the southern limit of the Mediterraneo-Saharan transition zone at 27 degrees N."
B1.132,5,Pontic sand beach annual communities,"Annual halo-nitrophilous communities of sand beaches of the Black Sea, with [Cakile maritima ssp. euxina], [Salsola kali ssp. ruthenica], [Salsola kali ssp. tragus], [Atriplex hastata], [Polygonum maritimum], [Euphorbia peplis], [Euphorbia paralias], [Glaucium flavum], [Xanthium strumarium ssp. italicum], [Convolvulus lineatus], [Convolvulus persicus]."
B1.133,5,Pontic sand beach perennial communities,"Halo-nitrophilous communities of Black Sea sand beaches dominated by perennial herbs, including [Crambe maritima ssp. pontica], [Argusia sibirica], [Lactuca tatarica], [Petasites spurius] or [Trachomitum venetum]."
B1.2,3,Sand beaches above the driftline,Gently sloping sand-covered shorelines fashioned by wind action along coasts and beside associated coastal lagoons.
B1.21,4,Unvegetated sand beaches above the driftline,"Sandy beaches of oceans, their connected seas and associated coastal lagoons, devoid of phanerogamic vegetation."
B1.211,5,Baltic unvegetated spits and bars above the driftline,No description available.
B1.212,5,Baltic unvegetated sandy beaches above the driftline,No description available.
B1.22,4,Biocenosis of supralittoral sands,"Area corresponding to the upper beach which is only humected by the sea during storms; however, certain areas do escape being totally submerged and receive a large amount of spray coming from the surge of the waves further down. 2 sets of phenomena are responsible for the dampness: at surface level, the dampness is caused by the salty spray from the breaking of the waves on the coast which is the main cause of the saltiness of the sand and the dampness of the night air. This humification only affects the top 2 or 3 centimetres and disappears quickly under the action of the sun; at depth, the sand is damp because of the proximity of the fairly unsalty ground water."
B1.221,5,Facies of depressions with residual humidity,No description available.
B1.222,5,Facies of quickly-drying wracks,No description available.
B1.223,5,Facies of tree trunks which have been washed ashore,No description available.
B1.224,5,Facies of phanerogams which have been washed ashore (upper part),"On sandy beaches, in the supralittoral stage, at a higher level, rarely submerged, in the whole of the Mediterranean. Present on the upper beach, only humectated by the sea during storms. The temperature is highly variable and the daily differences in temperature may be more than 20°C. These temperatures may be extremely high, reaching 50°C in the summer, and are then lethal for individuals living in the sand. This facies is a relatively particular aspect of ‘wracks’ and corresponds to the washing up of almost exclusively marine phanerogam debris from nearby meadows and beds. These wracks always include a fairly sizeable part of other additional elements of anthropic or natural origin. The sediment of the upper beach ranges from shifting sand on compact sand to the presence of more or less damp saline plaques on coarse sand. The sedimentary granulometry varies according to the addition of fine elements."
B1.23,4,Boreo-arctic sand beach perennial communities,"Perennial halo-nitrophilous communities of sand, gravelly sand and gravel cordons of upper beaches of the arctic and boreal sea coasts of Eurasia formed by [Leymus arenarius] ([Elymus arenarius]), [Ammophila arenaria], [Honkenya peploides], [Elymus farctus], [Elymus repens], [Mertensia maritima], accompanied by [Atriplex] spp. ([Atriplex prostrata], [Atriplex longipes ssp. praecox], [Atriplex glabriuscula]), [Polygonum aviculare], [Cakile maritima], [Cakile arctica], [Petasites spurius], [Potentilla anserina]. Representatives of these communities occur very locally within the nemoral zone."
B1.231,5,North Sea sand beach perennial communities,"[Leymus arenarius]-dominated perennial halo-nitrophilous communities of upper beaches of North Sea coasts of southern Norway, Jutland, Schleswig-Holstein, Lower Saxony, the Netherlands, England, Scotland and Orkney, and of the Danish coast of the Kattegat."
B1.232,5,Baltic sand beach perennial communities,"[Leymus arenarius]-dominated perennial halo-nitrophilous communities of southern and central Baltic upper beaches, often with [Petasites spurius]."
B1.233,5,Boreo-Bothnian sand beach perennial communities,Perennial halo-nitrophilous communities of the upper beaches of the Gulf of Bothnia dominated by [Leymus arenarius] and [Festuca rubra ssp. arenaria].
B1.234,5,Icelandic sand beach perennial communities,Perennial halo-nitrophilous communities of upper beaches of Iceland dominated by [Leymus arenarius] or [Mertensia maritima].
B1.235,5,Beach ridges consisting of algal or other plant material,No description available.
B1.24,4,Sandy beach ridges with no or low vegetation,"Sandy beach ridges may be bare or may host pioneer communities of the class [Ammophiletea] consisting mainly of geophytes and hemicryptophytes, e.g. the association [Agropyrion juncei]-[Sporoboletum pungentis]. They may sporadically be inundated by sea water during storms.
The vegetation may be ammonitrophilous, of the class [Cakiletea maritimae], enriched by many [Ammophiletea] species like [Echinophora spinosa], [Elymus farctus], [Eryngium maritimum]."
B1.25,4,Sandy beach ridges dominated by shrubs or trees,No description available.
