site_name,country,latitude,longitude,coordinate_source,data
Lac Tonga,Algeria,36.88333,8.5,https://www.tandfonline.com/doi/abs/10.1080/11956860.2001.11682659,No
Vienna,Austria,48.06,15.91,Antica,No
Peerdbos,Belgium,51.26666667,4.48333333,Data_owner,Yes
Gent,Belgium,51,3.7,Data_owner,No
Boshoek,Belgium,51.13333333,4.51666667,Data_owner,Yes
Univeristy of Antwerp,Belgium,51.16021,4.407561,Data_owner,Yes
Velky Kosir,Czechia,49.53333333,17.06666667,Data_owner,Yes
Dlouha Loucka,Czechia,49.25,17.25,Data_owner,Yes
Bagley,England,51.71,17.04,Antica,No
Cambridge,England,52.24,-0.14,Antica,No
Estonia,Estonia,58.11667,25.08333,Data_owner,No
Helsinki,Finland,60,24,https://www.researchgate.net/profile/Tapio_Solonen/publication/258246233_Breeding_of_the_Great_Tit_and_Blue_Tit_in_urban_and_rural_habitats_in_Southern_Finland/links/0046352a9a01ce30b6000000/Breeding-of-the-Great-Tit-and-Blue-Tit-in-urban-and-rural-habitats-in-Southern-Finland.pdf,No
Harjavalta,Finland,61.33333333,22.16666667,Data_owner,Yes
Kevo,Finland,69.75,27.01667,Data_owner,Yes
Oulu,Finland,65,25.5,Data_owner,Yes
Rouvi?re,France,43.66667,3.666667,Data_owner,Yes
Pirio,France,42.36667,8.752778,Data_owner,Yes
Avignon,France,43.83333,4.9,Data_owner,No
Montpellier city,France,43.37,3.52,Antica,Yes
Puachabon,France,43.72,3.61,Antica,No
Tuarelli (3 sites),France,42.39,8.75,Antica,No
Ventoux,France,44.17,5.28,Antica,Yes
Strasbourg,France,48.57908139,7.765490556,Data_owner,Yes
Munich (Westerholz),Germany,48.14317,10.890577,Data_owner,Yes
Radolfzell,Germany,47.762031,9.005178,Google_maps,No
S_Bavaria,Germany,48.61666667,11.23333333,Data_owner,Yes
Hochstadt,Germany,48.058824,11.255755,Data_owner,Yes
Pilis-Visegr?d Mountains,Hungary,47.71667,19.01667,Data_owner,Yes
Bandon Valley,Ireland,51.74869,-8.723583,Data_owner,Yes
Gash,Israel,32.23,34.83,Antica,No
Sde Eliahu,Israel,32.43,35.51,Antica,No
Sicily,Italy,37.59972222,13.55583333,Data_owner,Yes
Monte Rufeno,Italy,42.8,11.9,Data_owner,No
Hokkaido,Japan,42.4,141.36,Antica,No
Mt. Aburayama ,Japan,33.31,130.23,Antica,No
Upeglynis,Lithuania,55.03,23.06667,Data_owner,No
Buunderkamp,Netherlands,52.01907,5.75744,Data_owner,Yes
Hoge Veluwe,Netherlands,52.0407254,5.85573,Data_owner,Yes
Liesbosch Breda,Netherlands,51.58225,4.70028,Data_owner,Yes
Oosterhout,Netherlands,51.87366,5.84057,Data_owner,Yes
Vlieland,Netherlands,53.27917,5.01198,Data_owner,Yes
Warnsborn,Netherlands,52.01079,5.86816,Data_owner,Yes
Westerheide/NUON/Boslust,Netherlands,52.016,5.86,Data_owner,Yes
Groningen,Netherlands,53.21917,6.56667,Google_maps,No
Oslo,Norway,59.93,10.55,Antica,No
Warsaw,Poland,52.237049,21.017532,Google_maps,No
Bialowieza Forest,Poland,52.73467,21.05215,Google_maps,No
Grobla - Niepolomice Forest,Poland,50.1,20.41666667,Data_owner,Yes
Sekocin,Poland,52.1,20.87,Antica,No
Choupal,Portugal,40.222,-8.449638889,Data_owner,Yes
Zvenigorod,Russia,55.73333,36.85,Data_owner,No
Cantabrian mountains,Spain,42.71667,-5.016667,https://www.sciencedirect.com/science/article/pii/S0378112711000612,No
Sagunto,Spain,39.7,-0.25,Data_owner,No
"La Hirvela, Habitat 1",Spain,41.06666667,-3.45,Data_owner,No
Barcelona,Spain,41.46667,2.133333,Data_owner,No
"Valsa?n,?Spain",Spain,40.886,-4.030999972,Data_owner,Yes
Montesclaros,Spain,41.08333333,-3.433333333,Data_owner,Yes
La Hiruela,Spain,41.06666667,-3.45,Data_owner,Yes
Font Roja,Spain,38.39,-0.32,Antica,No
Mariola,Spain,38.44,-0.33,Antica,No
