PopCode,SpeciesCode
CHO,PARMAJ
HAR,FICHYP
HAR,PARMAJ
HAR,CYACAE
HAR,PERATE
BAN,PARMAJ
BAN,CYACAE
BAN,PERATE
SSQ,PARMAJ
SSQ,CYACAE
BOS,PARMAJ
BOS,CYACAE
PEE,PARMAJ
PEE,CYACAE
VEL,FICALB
VEL,PARMAJ
VEL,CYACAE
HOG,POEPAL
HOG,FICHYP
HOG,PARMAJ
HOG,CYACAE
HOG,PASMON
HOG,PERATE
HOG,SITEUR
HOG,PHOPHO
BUU,FICHYP
BUU,PARMAJ
BUU,CYACAE
BUU,PERATE
BUU,SITEUR
LIE,FICHYP
LIE,PARMAJ
LIE,CYACAE
LIE,PERATE
LIE,SITEUR
OOS,FICHYP
OOS,PARMAJ
OOS,CYACAE
OOS,SITEUR
VLI,PARMAJ
VLI,CYACAE
VLI,PERATE
WAR,FICHYP
WAR,PARMAJ
WAR,CYACAE
WAR,PERATE
WAR,SITEUR
WES,POEPAL
WES,FICHYP
WES,PARMAJ
WES,CYACAE
WES,PERATE
WES,SITEUR
WYT,PARMAJ
WYT,CYACAE
MIS,PARMAJ
MIS,CYACAE
MIS,PERATE
ROU,PARMAJ
ROU,CYACAE
MON,PARMAJ
MON,CYACAE
MTV,PARMAJ
MTV,CYACAE
MTV,PERATE
MTV,SITEUR
MUR,PARMAJ
MUR,CYACAE
MUR,PERATE
PIR,PARMAJ
PIR,CYACAE
PIR,PERATE
KEV,FICHYP
KEV,POECIN
KEV,PARMAJ
KEV,PHOPHO
HOC,PARMAJ
PIL,CYACAE
PIL,FICALB
PIL,PARMAJ
PIL,SITEUR
AMM,PARMAJ
AMM,CYACAE
AMM,PERATE
AMM,SITEUR
EDM,CYACAE
EDM,FICHYP
EDM,PARMAJ
EDM,PHOPHO
EDM,POEPAL
EDM,SITEUR
EDM,PERATE
DIN,CYACAE
DIN,FICHYP
DIN,PARMAJ
DIN,PHOPHO
DIN,SITEUR
KAT,FICHYP
KAT,PHOPHO
NAG,CYACAE
NAG,FICHYP
NAG,PARMAJ
NAG,PHOPHO
OKE,CYACAE
OKE,FICHYP
OKE,PARMAJ
OKE,POEPAL
OKE,SITEUR
OKE,PERATE
TEI,CYACAE
TEI,FICHYP
TEI,PARMAJ
TEI,PHOPHO
TEI,POEPAL
TEI,SITEUR
TEI,PERATE
PEW,CYACAE
KIL,PARMAJ
CAS,CYACAE
CAS,PARMAJ
GAR,CYACAE
GAR,PARMAJ
KEL,CYACAE
KEL,PARMAJ
SCE,CYACAE
SCE,PARMAJ
SAL,CYACAE
SAL,PARMAJ
GRO,CYACAE
GRO,PARMAJ
GRO,FICALB
