siteID,siteName,country,countryCode,decimalLatitude,decimalLongitude,locationAccordingTo
AMM,Ammersee-Starnbergersee,Germany,DE,47.966667,11.233333,metadataProvider
BAN,Bandon Valley,Ireland,IE,51.74869,-8.723583,metadataProvider
CHO,Choupal,Portugal,PT,40.222,-8.44963889,metadataProvider
HAR,Harjavalta,Finland,FI,61.31666667,22.11666667,metadataProvider
HOC,Hochstadt,Germany,DE,48.058824,11.255755,metadataProvider
KEV,Kevo,Finland,FI,69.75,27.01667,metadataProvider
MIS,Miscellaneous populations,France,FR,42.56886,8.943566,data
MON,Montpellier city,France,FR,43.606694,3.876889,metadataProvider
MTV,Mont Ventoux,France,FR,44.17444,5.278889,data
MUR,Muro,France,FR,42.55149,8.925644,data
PIR,Pirio,France,FR,42.373888,8.747781,metadataProvider
ROU,Rouviere,France,FR,43.664075,3.669504,metadataProvider
BUU,Buunderkamp,Netherlands,NL,52.01907,5.75744,metadataProvider
HOG,Hoge Veluwe,Netherlands,NL,52.04072,5.85573,metadataProvider
LIE,Liesbos,Netherlands,NL,51.58225,4.70028,metadataProvider
OOS,Oosterhout,Netherlands,NL,51.87366,5.84057,metadataProvider
VLI,Vlieland,Netherlands,NL,53.295861,5.051,metadataProvider
WAR,Warnsborn,Netherlands,NL,52.01079,5.86716,metadataProvider
WES,Westerheide,Netherlands,NL,52.01552,5.83692,metadataProvider
EDM,East Dartmoor,United Kingdom,GB,50.6,-3.71666667,metadataProvider
PIL,Pilis-Visegrad Mountains,Hungary,HU,47.71667,19.01667,metadataProvider
SSQ,Santo Stefano Quisquina,Italy,IT,37.6,13.5333333,metadataProvider
BOS,Boshoek,Belgium,BE,51.13333333,4.516666667,metadataProvider
PEE,Peerdsbos,Belgium,BE,51.272333,4.488333,metadataProvider
VEL,Velky Kosir,Czechia,CZ,49.53333333,17.06666667,metadataProvider
WYT,Wytham Woods,United Kingdom,GB,51.76667,-1.333333,metadataProvider
ASK,Askainen,Finland,FI,60.483333,21.75,metadataProvider
BER,Berkenheuvel,Netherlands,NL,52.876111,6.276389,metadataProvider
TOR,Torenlaan,Netherlands,NL,52.880833,6.3025,metadataProvider
MZR,Midzomer,Netherlands,NL,52.871111,6.304444,metadataProvider
DVZ,Dieverzand,Netherlands,NL,52.871944,6.328889,metadataProvider
OWM,Oude Willem,Netherlands,NL,52.907222,6.314167,metadataProvider
APP,Appelscha,Netherlands,NL,52.945278,6.302222,metadataProvider
